id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
186627908,4742192840663,"Ghế Gác Chân Công Thái Học, Ghế Kê Chân Văn Phòng Ergonomic Footrest Đầy Đủ Phiên Bản Ghế gác chân công thái học được nghiên cứu và thiết kế khoa học giúp nâng đỡ chân thoải mái khi làm việc, học hàn...",189000,280000,,91000,33,151,,available,,1000,1000,,111461,OEM
3480627,9330774535233,"  Bộ Cây Lau Nhà Xoay Tay Compact Spin Mop Lock&Lock ETM466: Thùng Giặt + Cây + Bông LauThùng chứa được làm bằng chất liệu nhựa PP cao cấp, chất lượng, có khả năng chịu được va đập tốt, cho độ...",475000,924000,,449000,49,1189,,available,,1000,1000,,48077,LocknLock
14640240,4167998775870,"Cân Điện Tử Nhà Bếp 5kg Hình 1:  Ảnh tổng quan sản phẩm Cân điện tử nhà bếp 5kg Cân điện tử 5kg có kích thước 16cm x 12.5cm làm từ chất liệu nhựa ABS cao cấp, màu trắng sang trọng, sạch sẽ. Cân có...",74914,74914,,0,0,1,,available,,1000,1000,,111461,OEM
27609461,9472086840343,"Dụng cụ thông tắc cống khí nén hiệu quả tuyệt đối là lựa chọn tuyệt vời cho việc thông tắc cống bồn cầu, thông tắc cống toilet, thông tắc cống bồn tắm khi bị tắc nghẽn. Máy thông tắc bồn cầu, dụng cụ ...",188000,188000,,0,0,13,,available,,1000,1000,,111461,OEM
99868980,5466758134944,"   Bình Giữ Nhiệt Locknlock Bucket Tumbler LHC4269 có tay cầm chắc chắn thuận tiện mang đi.Nắp và lưới lọc có thể tháo rời, dễ dàng vệ sinh.Miệng bình rộng đủ để vệ sinh bên trong và thêm đá v...",235000,473000,,238000,50,1988,,available,,1000,1000,,48077,LocknLock
7635008,4685277957415,Giới thiệu cuộn túi hút chân không thực phẩm dùng cho máy hút chân khôngTúi PA/PE hút chân không là các túi dùng để bảo quản thực phẩm bên trong và được xử lý theo công nghệ rút chân không bằng máy h...,60000,60000,,0,0,164,,available,,1000,1000,,111461,OEM
99994000,9415199298102,"Bình giữ nhiệt có ống hút Lock&Lock Bucket Tumbler with Straw LHC4268 thiết kế tay cầm chắc chắn giúp bạn thuận tiện mang theo mọi lúc mọi nơi.Nắp và lưới lọc có thể tháo rời, dễ dàng vệ sinh....",235000,473000,,238000,50,1227,,available,,1000,1000,,48077,LocknLock
59259444,6937793058205,"Video Chi tiết sản phẩmMùng Chụp, Màn Chụp Tự Bung Không Đáy Chống Muỗi Cao Cấp Thương Hiệu FUNU - Hàng Chính Hãng FUNU (Sản Xuất 100% Tại Việt Nam).Vải tuyn mềm, mịn, bền chắc đảm bảo chất lượn...",161500,170000,,8500,5,360,,available,,1000,1000,,839837,FuNu
90531871,4758446326246,"  Đèn bàn không chỉ là một dụng cụ cần thiết cho việc học tập, cũng như làm việc của bạn mà còn là một vật trang trí không thể thiếu cho căn phòng của bạn. Đèn bàn Moontronics MT01 là một sản phẩm...",158900,190000,,31100,16,917,,available,,1000,1000,,4251381,Moontronics
3258989,1045985192974,"Điểm nổi bật:- Chiếu ngủ văn phòng được thiết kế bằng chất liệu nhựa chuyên dụng 2 lớp, bên dưới là lớp mút êm ái, bên trên là lớp bạc cách nhiệt tạo cảm giác thoải mái không nóng bức cho những buổi ...",41000,41000,,0,0,1047,,available,,1000,1000,,111461,OEM
213704080,6505871283509,Đặc điểm:• Kết cấu dạng lưới bên ngoài trong mờ hai màu từ dưới lên đỏ sẫm và màu hồng• Lớp lót màu hồng trong mờ và lớp lót giấy bạc• Ống hút PP màu hồng nhạt trong suốt• Logo Siren dập nổi ở mặt...,617500,650000,,32500,5,6,,available,,1000,1000,,423495,STARBUCKS
116726951,5065788315592,"GỐI CÔNG THÁI HỌC LÀ GÌCông thái học hay tiếng anh Ergonomic là thuật ngữ được ghép lại từ  2 từ của tiếng Hy Lạp, trong đó “ergon” có nghĩa là công việc, và “nomoi” có nghĩa là quy luật tự nhiên. Nh...",589000,1178000,,589000,50,330,,available,,1000,1000,,3955813,Ema
195852183,6345258326968,Bình giữ nhiệt bằng thép không gỉ LocknLock Jumbo Tumbler LHC4300 có:Dung tích bình lơn (900 ml) Quai xách chống trượt Miệng bình rộng dễ dàng cho đá vào và dễ dàng chùi rửa Có khay lọc ngăn đá ho...,434000,730000,,296000,41,106,,available,,1000,1000,,48077,LocknLock
110001215,6334612852198,"Bộ 20 miếng dán tường đi dây điện - kẹp cố định nút giữ luồn dây điệnNẹp Dây Điện,Kẹp Dây Điện dán tường cố định dây điện,giữ dây điện an toàn và tiện lợiPhân Loại :• Mỗi bộ sản phẩm gồm: 20 nút kẹ...",19000,29000,,10000,34,107,,available,,1000,1000,,111461,OEM
2119169,4204353763551,"  Bộ Cây Lau Nhà Lock&Lock Squeeze Flat Mop ETM471 thiết kế xô tứ giác thông minh, khe vắt vừa có thể vắt khô nước vừa loại các vết bẩn một cách dễ dàng.Thiết kế thùng chứa nước nhỏ gọn và san...",485000,979000,,494000,50,1135,,available,,1000,1000,,48077,LocknLock
1024190,4116222211578,"Bộ 3 Hộp Cơm Giữ Nhiệt Lock&Lock Mushroom LHC8025SLV - Bạc dùng để đựng thực phẩm, thích hợp để sử dụng hằng ngày.Bộ sản phẩm gồm: Hộp cơm 460ml, 2 hộp thức ăn 420ml và 280ml, 1 túi giữ nhiệt, 1...",549000,1007000,,458000,45,89,,available,,1000,1000,,48077,LocknLock
161020621,2828230402720,"Chuẩn bị đất trồng Cây bầu có thể trồng trên nhiều loại đất, tuy nhiên phát triển tốt nhất trên đất tơi xốp, độ phì cao, giàu dinh dưỡng, pH trong khoảng 6-7. Đất bạn có thể mua sẵn hoặc trộn đất vớ...",3000,3000,,0,0,3,,available,,1000,1000,,111461,OEM
188975478,3819939562916,"CHUÔNG CỬA KHÔNG DÂY THÔNG MINH CACAZI A20, 36 NHẠC CHUÔNG, KHOẢNG CÁCH THU PHÁT SÓNG TRONG 300M  ...",165000,165000,,0,0,2,,available,,1000,1000,,685485,CACAZI
